restaurant_name,price_range,rating,total_reviews,location,province
The Canadian Brewhouse,$$,2.7,20,Red-Deer,AB
George’s Pizza & Steak House,$$,2.5,24,Red-Deer,AB
Glenn’s Family Restaurant & Gift Shop,$$,3.8,40,Red-Deer,AB
Cora,$$,3.6,14,Red-Deer,AB
Joey’s Seafood Restaurants,$$,4.5,4,Red-Deer,AB
Phil’s Restaurant,$$,3.6,18,Red-Deer,AB
Ricky’s All Day Grill,$$,3.3,14,Red-Deer,AB
Sushimaru,$$,4,7,Red-Deer,AB
Red Star Chinese Restaurant,$$,3.3,21,Red-Deer,AB
Earls Kitchen + Bar,$$,2.6,27,Red-Deer,AB
Mary Brown’s Famous Chicken & Taters,$,3.6,5,Red-Deer,AB
East Side Mario’s,$$,2.4,31,Red-Deer,AB
Saro’s Restaurant,$$,2.5,6,Red-Deer,AB
ABC Country Restaurant,$$,3.1,16,Red-Deer,AB
Redcity Donair & Pita,$,4.6,8,Red-Deer,AB
Barkada Grill,$$,3.6,5,Red-Deer,AB
Montana’s,$$,2.8,32,Red-Deer,AB
Buster’s Pizza & Donair,$$,3.7,3,Red-Deer,AB
Boston Pizza,$$,4,5,Red-Deer,AB
Pizza 73,$,4,3,Red-Deer,AB
Eka Of Japan,$,4.4,5,Red-Deer,AB
Five Guys,$$,4.3,16,Red-Deer,AB
Canton Kitchen,$$,2,3,Red-Deer,AB
Boston Pizza,$$,2.5,22,Red-Deer,AB
Edo Japan,$$,3.8,6,Red-Deer,AB
botaniCa Red Deer,$,1.8,4,Red-Deer,AB
Pita Pit,$$,3.5,2,Red-Deer,AB
China House,$$,2.8,8,Red-Deer,AB
Dragon City Buffet,$$,3.2,18,Red-Deer,AB
Mucho Burrito Fresh Mexican Grill,$,3.7,14,Red-Deer,AB
Denny’s,$$,2.6,19,Red-Deer,AB
Western Pizza,$$,3.8,8,Red-Deer,AB
Chopped Leaf,$$,4,3,Red-Deer,AB
Monsieur Wong’s,$$,2,6,Red-Deer,AB
The Flying Pig,$$,4,,Vancouver,BC
Kingyo,$$,4.4,,Vancouver,BC
Miku,$$$,4.4,,Vancouver,BC
Kosoo,$$,4.3,88,Vancouver,BC
Dinesty Dumpling House,$$,3.9,928,Vancouver,BC
Saku,$$,4.4,337,Vancouver,BC
Guu with Garlic,$$,4.3,,Vancouver,BC
Fable Kitchen,$$,4.3,764,Vancouver,BC
Fanny Bay Oyster Bar & Shellfish Market,$$,4.4,749,Vancouver,BC
Manoush’eh,$,4.8,228,Vancouver,BC
Sula,$$,4.3,89,Vancouver,BC
Phnom Penh,$$,4.2,,Vancouver,BC
Saku,$$,4.3,214,Vancouver,BC
Blue Water Cafe,$$$$,4.4,,Vancouver,BC
Forage,$$,4.1,698,Vancouver,BC
Anh and Chi,$$,3.9,618,Vancouver,BC
Botanist,$$$,4.3,370,Vancouver,BC
Twisted Fork,$$,4.2,,Vancouver,BC
Happy Noodle House,$$,4.6,79,Vancouver,BC
Lupo,$$$,4.3,436,Vancouver,BC
Kishimoto Japanese Kitchen,$$$,4.4,512,Vancouver,BC
Tendon Kohaku,$$,4.3,91,Vancouver,BC
Raisu,$$,4.2,435,Vancouver,BC
Hello Nori,$$,4.5,190,Vancouver,BC
Ask For Luigi,$$,4,487,Vancouver,BC
Chinatown BBQ,$$,4.5,260,Vancouver,BC
Fritz European Fry House,$,4.2,807,Vancouver,BC
Medina Cafe,$$,4.2,,Vancouver,BC
Kokoro Tokyo Mazesoba,$$,4.1,447,Vancouver,BC
Salmon n’ Bannock,$$,4.5,203,Vancouver,BC
Hawkers Delight Deli,$,3.9,351,Vancouver,BC
España Restaurant,$$,4.2,250,Vancouver,BC
OEB Breakfast Co. Yaletown,$$,4.3,730,Vancouver,BC
Joe Fortes Seafood & Chop House,$$$,4,,Vancouver,BC
Chambar,$$$,4.2,,Vancouver,BC
Jam Cafe on Beatty,$$,4.4,,Vancouver,BC
Tavola,$$$,4.5,363,Vancouver,BC
Nobi Nobi,$$,4.5,38,Vancouver,BC
Rodney’s Oyster House,$$,4,818,Vancouver,BC
Nightingale,$$$,4.1,471,Vancouver,BC
The Mexican Antojitos Y Cantina,$$,4.3,402,Vancouver,BC
Linh Cafe,$$,3.9,299,Vancouver,BC
Maenam,$$,3.9,380,Vancouver,BC
Lunch Lady,$$,4,197,Vancouver,BC
Jingle Bao,$$,4.1,152,Vancouver,BC
Shiok Singapore Cuisine,$$,3.8,102,Vancouver,BC
Cactus Club Cafe,$$,4.2,821,Vancouver,BC
Alibi Room,$$,4.3,566,Vancouver,BC
Zefferelli’s,$$,4.2,487,Vancouver,BC
AnnaLena,$$$$,4.5,347,Vancouver,BC
So Hyang Korean Cuisine,$$,4.2,320,Vancouver,BC
Bao Bei Chinese Brasserie,$$$,3.9,415,Vancouver,BC
Seiza,$$,3.9,79,Vancouver,BC
Le Crocodile Restaurant,$$$$,4.3,438,Vancouver,BC
Bali Thai,$,4.5,91,Vancouver,BC
Suika,$$,4.1,520,Vancouver,BC
The Mackenzie Room,$$$$,4.5,182,Vancouver,BC
Sushi Jin,$$$,4.6,137,Vancouver,BC
The Fish Counter,$$,4.4,350,Vancouver,BC
Hei Hei Rice Roll,$$,4.3,83,Vancouver,BC
Burgoo Bistros,$$,3.8,498,Vancouver,BC
Elisa,$$$$,4.2,194,Vancouver,BC
St Lawrence Restaurant,$$$,4.4,140,Vancouver,BC
Laksa King,$$,3.8,207,Vancouver,BC
Ramen Danbo,$$,4.4,580,Vancouver,BC
Moose’s Down Under,$$,4,145,Vancouver,BC
Holy Chow,$$,4.1,44,Vancouver,BC
The Red Accordion,$$,4.7,72,Vancouver,BC
Go Fish Ocean Emporium,$$,3.9,502,Vancouver,BC
Kozak Ukraïnian Eatery,$$,4.4,30,Vancouver,BC
Maizal RMF,$$,4.3,145,Vancouver,BC
La Taqueria Pinche Taco Shop,$$,4.3,521,Vancouver,BC
La Notte Restaurant,$$,3.9,55,Vancouver,BC
Breakfast Table,$$,4.3,251,Vancouver,BC
Maruhachi Ra-men,$$,4.4,754,Vancouver,BC
Afghan Horsemen Restaurant,$$,3.9,244,Vancouver,BC
The Greek By Anatoli,$$,3.8,253,Vancouver,BC
Nuba in Gastown,$$$,4.1,743,Vancouver,BC
Bodega On Main,$$,3.9,212,Vancouver,BC
Cardero’s Restaurant & Marine Pub,$$$,3.9,640,Vancouver,BC
The Poke Guy,$$,4.5,207,Vancouver,BC
Mott 32,$$$$,3.9,176,Vancouver,BC
Banana Leaf,$$,3.7,299,Vancouver,BC
Fat Mao Noodles,$$,3.9,228,Vancouver,BC
Burger Crush,$$,4.6,19,Vancouver,BC
Kulinarya,$$,3.8,63,Vancouver,BC
Robba da Matti,$$$,4.2,490,Vancouver,BC
Dosanko,$$,3.8,101,Vancouver,BC
