restaurant_name,address
Pizza Hut,"653 William Avenue Winnipeg, MB R3A 0K1 Canada"
Hargrave St. Market,"242 Hargrave Street Winnipeg, MB R3C 0T8 Canada"
Oomomo Café,"710 St James St Unit A Winnipeg, MB R3G 0K7 Canada"
Red Top Drive Inn,"219 Saint Mary's Road Winnipeg, MB R2H 1J2 Canada"
Cafe LemonTree,"1631 St Mary's Road Unit J Winnipeg, MB R2N 1Z4 Canada"
Jollibee,"1406 Ellice Ave Winnipeg, MB R3G 0G4 Canada"
Colosseo Ristorante Italiano,"670 Corydon Ave Winnipeg, MB R3M 0X7 Canada"
Tandoor House,"598 Ebby Avenue Winnipeg, MB R3M Canada"
Earls Kitchen + Bar,"300 Main Street Unit 100 Winnipeg, MB R3B 1B6 Canada"
Spicy Noodle House,"99 Osborne Street Suite 102 Winnipeg, MB R3L 2R4 Canada"
Mona Lisa Ristorante Italiano,"1697 Corydon Avenue Winnipeg, MB R3N 0J9 Canada"
Olive Garden Italian Restaurant,"1544 Portage Avenue Winnipeg, MB R3G 0W9 Canada"
Mehak-E-Punjab,"2696 Pembina Hwy Winnipeg, MB R3T 2H7 Canada"
Pizza Hut,"653 William Avenue Winnipeg, MB R3A 0K1 Canada"
Les Saj Restaurant,"1038 St James Street Suite C1 Winnipeg, MB R3H 0K5 Canada"
Silver Heights Restaurant & Lounge,"2169 Portage Avenue Winnipeg, MB R3J 0L7 Canada"
The Rec Room,"696 Sterling Lyon Pkwy Winnipeg, MB R3P 1J9 Canada"
Banh Mi King,"510 Portage Avenue Winnipeg, MB R3C 0G2 Canada"
The Keg Steakhouse + Bar,"115 Garry St Winnipeg, MB R3C 1G5 Canada"
New China Kitchen,"446 St Anne's Rd Winnipeg, MB R2M 3C8 Canada"
Sam Po,"277 Rupert Avenue Winnipeg, MB R3B 0N5 Canada"
Miss Christine's kitchen,"611 Archibald Street Winnipeg, MB R2J 0X8 Canada"
The Gallery Tap House and Grill,"100 Youville Street 2nd floor Winnipeg, MB R2H 2S1 Canada"
Bertos Taqueria,"842 Corydon Avenue Winnipeg, MB R3M 0Y4 Canada"
Olive Garden Italian Restaurant,"1544 Portage Avenue Winnipeg, MB R3G 0W9 Canada"
Mehak-E-Punjab,"2696 Pembina Hwy Winnipeg, MB R3T 2H7 Canada"
Pizza Hut,"653 William Avenue Winnipeg, MB R3A 0K1 Canada"
Beaurivage Bistro,"788 Corydon Avenue Winnipeg, MB R3M 0Y1 Canada"
Confusion Corner Drinks + Food,"500 Corydon Avenue Winnipeg, MB R3L 0P1 Canada"
Bistro on Notre Dame,"784 Notre Dame Avenue Winnipeg, MB R3E 0L9 Canada"
Elephant & Castle,"350 St Mary Ave Winnipeg, MB R3C 3J2 Canada"
Kazoku,"30-2583 Pembina hwy Winnipeg, MB R3T Canada"
Sushi Cushi,"1045 St James Street Unit - K Winnipeg, MB R3H Canada"
Chosabi,"100 King Street Unit A Winnipeg, MB R3B 0P6 Canada"
Chaise Cafe & Lounge,"271 Provencher Boulevard Winnipeg, MB R2H 0E3 Canada"
Primo's Deli,"625 Portage Ave Winnipeg, MB R3B 2G4 Canada"
Kimchi Sushi,"1270 Pembina Highway Winnipeg, MB R3T 2B1 Canada"
Olive Garden Italian Restaurant,"1544 Portage Avenue Winnipeg, MB R3G 0W9 Canada"
Mehak-E-Punjab,"2696 Pembina Hwy Winnipeg, MB R3T 2H7 Canada"
Pizza Hut,"653 William Avenue Winnipeg, MB R3A 0K1 Canada"
Fire & Spice,"66 Donald Street Winnipeg, MB R3C 1L7 Canada"
Steve's Bistro,"3123 Portage Avenue Winnipeg, MB R3K 0W4 Canada"
King + Bannatyne,"100 King Street Unit D Winnipeg, MB R3B 0P6 Canada"
Chop Steakhouse & Bar,"1750 Sargent Avenue Winnipeg, MB R3H 0C7 Canada"
La Creperie Ker Breizh,"267 Sherbrook Street Unit 110 Winnipeg, MB R3C 2B8 Canada"
Stella's,"1463 Pembina Highway Winnipeg, MB R3T 2C5 Canada"
The Oakwood,"660 Osborne Street Unit 4 Winnipeg, MB R3L 2B6 Canada"
Naru Sushi,"159 Osborne Street Winnipeg, MB R3L 1Y7 Canada"
Golden Loong Restaurant,"2237 Pembina Highway Winnipeg, MB R3T 2H1 Canada"
Hsieh Family Restaurant,"230 Dalhousie Drive Winnipeg, MB R3T 2Z1 Canada"
Olive Garden Italian Restaurant,"1544 Portage Avenue Winnipeg, MB R3G 0W9 Canada"
Pizza Hut,"653 William Avenue Winnipeg, MB R3A 0K1 Canada"
Mehak-E-Punjab,"2696 Pembina Hwy Winnipeg, MB R3T 2H7 Canada"
Pizzeria Gusto,"404 Academy Road Winnipeg, MB R3N 0B8 Canada"
Yellow Dog Tavern,"386 Donald Street Winnipeg, MB R3B 2J2 Canada"
Coconut Island Thai Cuisine,"1607 Pembina Highway Winnipeg, MB R3T 2E5 Canada"
Taverna Rodos,"5114 Roblin Boulevard Winnipeg, MB R3R 0G9 Canada"
Carnaval Brazilian BBQ,"270 Waterfront Drive Winnipeg, MB R3B 0L4 Canada"
Stella's Plug In,"460 Portage Avenue Winnipeg, MB R3C 0E8 Canada"
Shaba Thai cuisine,"561 Portage Avenue Winnipeg, MB R3B 2G2 Canada"
George's Burgers & Subs,"2253 Ness Ave Winnipeg, MB R3J 0Z8 Canada"
Jeepney,"1833 Inkster Boulevard Winnipeg, MB R2X 1R3 Canada"
Smitty's Family Restaurant & Lounge,"580 Pembina Highway Unit 8 Winnipeg, MB R3M 2M5 Canada"
Olive Garden Italian Restaurant,"1544 Portage Avenue Winnipeg, MB R3G 0W9 Canada"
Mehak-E-Punjab,"2696 Pembina Hwy Winnipeg, MB R3T 2H7 Canada"
Pizza Hut,"653 William Avenue Winnipeg, MB R3A 0K1 Canada"
Stella's,"340 Provencher Boulevard Winnipeg, MB R2H 0G7 Canada"
Sabai Thai Eatery,"1113 Corydon Avenue Winnipeg, MB R3M 0X4 Canada"
Dwarf No Cachette Cafe & Gift,"157 Provencher Boulevard Winnipeg, MB R2H 0G2 Canada"
King's Head Pub,"120 King Street Winnipeg, MB R3B 1H9 Canada"
