restaurant_name,address
Trendz Café and Wine Bar,"15 Spectacle Lake Drive Dartmouth, NS B3B 1X7 Canada"
The Stubborn Goat Gastropub,"1579 Grafton Street Halifax, NS B3J 2C3 Canada"
Lakeside Bar & Grill,"250 St Margarets Bay Road Halifax, NS B3N 1J4 Canada"
Ratinaud French Cuisine,"2157 Gottingen Street Halifax, NS B3K 3B3 Canada"
Montana's Cookhouse & Bar,"101 Shubie Drive Dartmouth, NS B3B 0C3 Canada"
La Cucina Cafe,"151 Hector Gate Dartmouth, NS B3B 0E5 Canada"
Mizu All You Can Eat,"644 Portland Street Dartmouth, NS B2W 6C4 Canada"
Durty Nelly's,"5221 Sackville Street Halifax, NS B3J Canada"
The Orient Chinese Cuisine,"227 Bedford HIghway Halifax, NS B3M 2J9 Canada"
Simply Asian,"100 Highfield Park Drive Dartmouth, NS B3A 4X2 Canada"
Happy Veal Hot Pot,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Pizza Hut,"510 Portland Street Dartmouth, NS B2Y 4W7 Canada"
East Coast Dumpling House,"958 Cole Harbour Road Dartmouth, NS B2V 1E6 Canada"
Mirchi Tandoor,"5232 Blowers Street Halifax, NS B3J 1J7 Canada"
Beaverbank Station,"991 Windgate Drive Beaver Bank, NS B4G 0A7 Canada"
Field Guide,"2076 Gottingen Street Halifax, NS B3K 3B4 Canada"
Chanoey’s Pasta,"41 Portland Street Dartmouth, NS B2Y 1H1 Canada"
Highwayman,"1673 Barrington Street Halifax, NS B3J 1Z9 Canada"
Pho Hoang Minh Vietnamese Restaurant,"172 Wyse Road Dartmouth, NS B3A 1M6 Canada"
Stone Pizza,"79 Alderney Drive Dartmouth, NS B2Y 2N7 Canada"
The Keg Steakhouse + Bar,"11 Fyne Lane Dartmouth, NS B3B 0N6 Canada"
Seoul Korean Restaurant,"11 Bloom Lane Unit 104 Bedford, NS B4B 2E6 Canada"
Tako Sushi & Ramen,"480 Parkland Drive Halifax, NS B3S 1P9 Canada"
Happy Veal Hot Pot,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Pizza Hut,"510 Portland Street Dartmouth, NS B2Y 4W7 Canada"
