restaurant_name,price_range,rating,total_reviews,location,province
Charbar,$$,3.4 ,187,calgary,AB
Inglewood Drive In,$,4.0 ,42,calgary,AB
Anatolia Turkish Food,$$,3.7 ,31,calgary,AB
Pho Huong Viet Noodle House,$,3.9 ,97,calgary,AB
Pegasus,$$,3.8 ,23,calgary,AB
River Café,$$$,3.9 ,197,calgary,AB
The Wilde on 27,$$$,3.9 ,10,calgary,AB
Thai Bistro,$$,3.9 ,80,calgary,AB
Red’s Diner 58th,$$,4.2 ,16,calgary,AB
Han Corea,$$,4.0 ,2,calgary,AB
Browns Socialhouse,$$,3.7 ,28,calgary,AB
Beirut Bakery,$,4.5 ,15,calgary,AB
Ssome,$,3.4 ,8,calgary,AB
Cravings,$,4.3 ,3,calgary,AB
Holy Grill,$$,4.5 ,23,calgary,AB
Rocky Mountain BBQ Catering,$$,4.7 ,3,calgary,AB
Big Rock Grill,$$,3.9 ,10,calgary,AB
Around the Bend,$$,4.6 ,30,calgary,AB
Buchanan’s Chop House Whisky Bar,$$$,4.1 ,33,calgary,AB
Michael’s Pizza,$$,4.1 ,48,calgary,AB
Cactus Club Cafe,$$,3.6 ,114,calgary,AB
Pocket Dawg,$,4.0 ,5,calgary,AB
Han’s Restaurant,$$,4.5 ,23,calgary,AB
Soul Kitchen BBQ,$,4.5 ,15,calgary,AB
Side Street Pub & Grill,$$,4.1 ,32,calgary,AB
Madison’s 12|12,$$,3.7 ,59,calgary,AB
Five Spice Kitchen,$,4.4 ,19,calgary,AB
Moxies,$$,3.5 ,60,calgary,AB
The Nash,$$$,3.9 ,144,calgary,AB
Sushi Toki,$$,4.0 ,27,calgary,AB
Samurai Ramen and Sushi,$$,4.3 ,40,calgary,AB
Azzurri Pizzeria,$$,4.8 ,24,calgary,AB
The Street Eatery,$$,3.4 ,41,calgary,AB
Sushi Party,$,4.6 ,5,calgary,AB
Dragon Dynasty Chinese Restaurant,$$,3.6 ,38,calgary,AB
Sole Restaurant & Bar,$$,3.9 ,13,calgary,AB
Salsita,$$,4.0 ,12,calgary,AB
Omega Cafe,$,4.7 ,6,calgary,AB
