restaurant_name,price_range,rating,total_reviews,location,province
Phil Smoked Meat,$$,4.5 ,35,quebec,QC
L’Atelier,$$$,3.9 ,120,quebec,QC
Chez Muffy,$$$$,4.3 ,44,quebec,QC
Le Chic Shack,$$,4.0 ,384,quebec,QC
L’Échaudé,$$$,4.1 ,119,quebec,QC
Bello Ristorante,$$$,4.2 ,198,quebec,QC
Apsara,$$,3.9 ,122,quebec,QC
La Pizzaio,$$,4.8 ,38,quebec,QC
Nguyen,$$,5.0 ,2,quebec,QC
Chez Gaston,$,4.5 ,53,quebec,QC
Kraken Cru,$$,4.7 ,12,quebec,QC
Saveurs du Monde,$$,4.4 ,43,quebec,QC
Boulangerie du Lac,$$,5.0 ,7,quebec,QC
Cendrillon,$$$,4.7 ,24,quebec,QC
Un Thé au Sahara,$$,4.1 ,57,quebec,QC
La Gueule de Bois,$$$,4.9 ,25,quebec,QC
Le Buffet de l’Antiquaire,$$,4.1 ,157,quebec,QC
Champlain,$$$$,4.1 ,75,quebec,QC
Ninkasi,$,4.2 ,29,quebec,QC
Chanhda,$,4.7 ,15,quebec,QC
Bistro le Sam,$$$,3.9 ,131,quebec,QC
Restaurant Nek8arre,$$$,4.0 ,3,quebec,QC
Bachir,$,4.5 ,42,quebec,QC
Nina Pizza Napolitaine,$$,4.4 ,68,quebec,QC
Le Cochon Dingue,$$,4.0 ,48,quebec,QC
Restaurant Wong,$$,3.4 ,43,quebec,QC
Matto,$$$,4.2 ,112,quebec,QC
Bati Bassac,$$,3.9 ,33,quebec,QC
Ciel! Bistro-bar tournant,$$$,4.2 ,109,quebec,QC
Archibald,$$,4.3 ,6,quebec,QC
Patente et Machin,$$$,4.4 ,69,quebec,QC
Fanamanga,$$,4.2 ,15,quebec,QC
Archibald Microbrasserie,$$,4.0 ,21,quebec,QC
1608 Wine & Cheese Bar,$$$,4.3 ,90,quebec,QC
D’Orsay,$$,3.6 ,156,quebec,QC
La Boîte à Pain,$,4.3 ,103,quebec,QC
Le Croque Délice,$,3.8 ,4,quebec,QC
La Girolle,$$,4.6 ,11,quebec,QC
Laurie Raphaël,$$$$,4.5 ,37,quebec,QC
Kimono,$$,3.8 ,33,quebec,QC
Le Café du Monde,$$,3.6 ,92,quebec,QC
La Cuisine,$$,4.1 ,34,quebec,QC
Sapristi,$$,4.2 ,135,quebec,QC
Aux Deux Violons Restaurant,$$,4.6 ,7,quebec,QC
Le Mexicain,$,4.5 ,6,quebec,QC
La Galette Libanaise,$,4.3 ,41,quebec,QC
Restaurant Jardin du Vietnam,$$,4.3 ,4,quebec,QC
Bügel fabrique de bagels,$$,4.1 ,85,quebec,QC
Délicatesses Tonkinoises,$$,4.2 ,16,quebec,QC
Archibald Microbrasserie  - restaurant Duplessis,$$,3.8 ,27,quebec,QC
Le Bouchon du Pied Bleu,$$$,4.7 ,21,quebec,QC
Griendel,$$,4.2 ,19,quebec,QC
Café Roreke,$$,4.0 ,1,quebec,QC
Le Dijon,$$,3.8 ,5,quebec,QC
BEClub Bistro-Bar,$$,4.7 ,81,quebec,QC
La Bête,$$$,4.0 ,22,quebec,QC
Les Sales Gosses,$$$,4.3 ,14,quebec,QC
Le Batifol,$$,4.5 ,11,quebec,QC
Restaurant Paya Thai,$$,4.0 ,4,quebec,QC
Bâton Rouge Steakhouse & Bar,$$,3.8 ,30,quebec,QC
Cuisine Boulet,$,4.0 ,1,quebec,QC
Miyagi Bistro Thaï Et Sushi,$$,4.3 ,18,quebec,QC
Charbon Steakhouse,$$$,3.9 ,43,quebec,QC
Ô 6ième Sens,$$$,5.0 ,10,quebec,QC
Lanterne Rouge,$$,3.9 ,10,quebec,QC
Sésame,$$,3.6 ,17,quebec,QC
La Korrigane,$$,4.2 ,74,quebec,QC
La Planque,$$$,4.5 ,32,quebec,QC
Les Frères Toc,$$,4.2 ,9,quebec,QC
Le Bureau de Poste,$,3.9 ,102,quebec,QC
Jack Saloon,$$,3.9 ,11,quebec,QC
Poulet Portuguais,$$,4.4 ,14,quebec,QC
Portofino,$$$,3.8 ,157,quebec,QC
Thang Long Restaurant,$$,3.6 ,26,quebec,QC
La Revanche,$$,4.6 ,18,quebec,QC
Ben & Florentine,$$,4.1 ,8,quebec,QC
Bistro la Cohue,$$$,4.7 ,11,quebec,QC
Hosaka-ya,$$$,4.1 ,16,quebec,QC
Chez Victor,$$,4.4 ,69,quebec,QC
La Cage Brasserie sportive,$$,4.6 ,7,quebec,QC
Shady,$,4.1 ,8,quebec,QC
Chez Boub,$$,4.3 ,8,quebec,QC
Cafe Felin Ma Langue Aux Chats - RENOVATED,$,4.2 ,32,quebec,QC
Khemara,$$,5.0 ,1,quebec,QC
Sushi Samurai,$$,3.1 ,53,quebec,QC
Au Grain de Folie,$$$,5.0 ,7,quebec,QC
Le Varadero,$,4.4 ,11,quebec,QC
Café Les Cousins,$$,4.4 ,23,quebec,QC
Café au Temps Perdu,$$,4.1 ,15,quebec,QC
L’Oeuforie,$$,4.0 ,6,quebec,QC
Chez Mai,$,3.7 ,18,quebec,QC
Sushi Kumi,$$,3.3 ,15,quebec,QC
Maelstrøm Saint-Roch,$,4.1 ,16,quebec,QC
Paillard,$$,4.4 ,11,quebec,QC
Chez Greco,$$,3.7 ,10,quebec,QC
Table,$$$,3.9 ,29,quebec,QC
Allô Mon Coco,$$,4.1 ,43,quebec,QC
BeaverTails,$,4.1 ,7,quebec,QC
District Saint-Joseph,$$$,4.1 ,7,quebec,QC
Louis Hebert,$$$,4.3 ,49,quebec,QC
Les Copines Cuisinent,$$,4.0 ,2,quebec,QC
Le Grand Bourg,$$$,4.3 ,3,quebec,QC
Bistro Le Veravin,$$,4.0 ,28,quebec,QC
Au Bonnet d’Âne,$$,3.9 ,48,quebec,QC
Les Maltcommodes,$$,3.8 ,6,quebec,QC
La Grolla,$$$$,4.1 ,32,quebec,QC
La Maison Smith,$,4.2 ,79,quebec,QC
Casse-Crêpe Breton,$$,3.3 ,336,quebec,QC
Phô Tonkinoise,$,3.2 ,18,quebec,QC
La Pizz,$$,4.0 ,65,quebec,QC
La Queue de Veau,$$,4.4 ,5,quebec,QC
Dixie Lee Charlesbourg,$$,4.5 ,2,quebec,QC
Gab’s,$$,4.1 ,10,quebec,QC
Brûlerie Saint-Roch,$,4.1 ,26,quebec,QC
Kalimera,$$,4.4 ,18,quebec,QC
La Piazzetta,$$,4.1 ,25,quebec,QC
Restaurant Le Maizerets,$$,4.6 ,5,quebec,QC
Paris Grill,$$$,4.1 ,32,quebec,QC
Rascal,$$,4.0 ,5,quebec,QC
Le Manoir Sainte-Foy,$$$,4.2 ,21,quebec,QC
Baguette & Chocolat,$,4.1 ,76,quebec,QC
Cosmos,$$$,4.1 ,11,quebec,QC
La Poutinerie,$,3.7 ,21,quebec,QC
Chez le-An,$$,3.5 ,4,quebec,QC
Chez Ashton,$,3.6 ,77,quebec,QC
Soupe et Cie,$$,4.0 ,41,quebec,QC
La Fenouillière,$$$,4.8 ,12,quebec,QC
L’Inox,$$,3.7 ,29,quebec,QC
