restaurant_name,price_range,rating,total_reviews,location,province
The Parm House,$,3.3 ,3,hamilton,ON
Easterbrook Hotdog Stand,$,4.1 ,35,hamilton,ON
Ellis Kitchen,$,4.2 ,10,hamilton,ON
The Keg Steakhouse + Bar,$$,4.3 ,10,hamilton,ON
The Keg Steakhouse + Bar,$$,4.3 ,10,hamilton,ON
Downtown Bistro And Grill,$$,4.3 ,12,hamilton,ON
Caribbean & Canadian Restaurant,$$,4.5 ,19,hamilton,ON
Easterbrook Hotdog Stand,$,4.1 ,35,hamilton,ON
Lone Star Texas Grill,$$,2.6 ,35,hamilton,ON
Wild Orchid,$$,2.8 ,17,hamilton,ON
The Burger’s Priest,$$,3.7 ,34,hamilton,ON
La Piazza Allegra,$$,3.4 ,8,hamilton,ON
Empress Wok,$,2.4 ,10,hamilton,ON
Motel Restaurant,$$,4.4 ,54,hamilton,ON
Akira Restaurant,$$,4.1 ,47,kingston,ON
Mike Mundell’s Surf & Turf,$,4.3 ,6,kingston,ON
Bella Bistro,$$,3.9 ,23,kingston,ON
Sapporo Kingston Japanese Restaurant,$$,4.3 ,15,kingston,ON
Tom’s Place,$$,3.6 ,5,kingston,ON
St Louis Bar And Grill,$$,3.8 ,10,kingston,ON
Limestone Kabob House,$$,4.1 ,14,kingston,ON
Saber’s Taste of India,$$,3.9 ,34,kingston,ON
Boston Pizza,$$,2.6 ,19,kingston,ON
Eggsquis,$$,3.7 ,42,kingston,ON
Smitty’s,$$,3.8 ,13,kingston,ON
Panera Bread,$,2.7 ,20,kingston,ON
The Golden Damrei Restaurant,$$,4.8 ,6,kingston,ON
Snack Shack,$$,3.8 ,6,kingston,ON
Swiss Chalet Rotisserie & Grill,$$,3.7 ,11,kingston,ON
Wing Central,$$,4.0 ,6,kingston,ON
Coffee Way Donut Shop,$,4.4 ,32,kingston,ON
Gabriel Pizza,$,2.5 ,13,kingston,ON
Keith’s Deli,$,4.8 ,4,kingston,ON
L’Eggspress,$$,2.9 ,7,kingston,ON
Captain George’s Fish & Chips,$,4.1 ,7,kingston,ON
The Rose & Crown,$$,3.3 ,11,kingston,ON
East Side Mario’s,$$,1.9 ,14,kingston,ON
Denny’s,$$,3.3 ,13,kingston,ON
Dingaling’s,$$,3.5 ,16,kingston,ON
Five Guys,$$,4.0 ,17,kingston,ON
Greek Town Grill & Takeout,$$,4.2 ,11,kingston,ON
Boston Pizza,$$,1.9 ,8,kingston,ON
A&W,$$,5.0 ,4,kingston,ON
Siemreap Restaurant,$$,3.3 ,13,kingston,ON
Montana’s,$$,2.0 ,15,kingston,ON
Jiffy Grill,$$,4.8 ,4,kingston,ON
Minos Restaurants,$$,2.0 ,6,kingston,ON
Pizza By Adonis,$$,4.2 ,9,kingston,ON
A&W,$,3.3 ,6,kingston,ON
Arby’s,$,4.2 ,5,kingston,ON
McDonald’s,$,3.0 ,3,kingston,ON
Kelseys Original Roadhouse,$$,2.7 ,9,kingston,ON
Tim Hortons,$,4.0 ,2,kingston,ON
A&W,$,3.0 ,3,kingston,ON
Popeyes Louisiana Kitchen,$,3.3 ,11,kingston,ON
Denny’s,$$$,2.7 ,10,kingston,ON
A&W,$$,2.7 ,3,kingston,ON
New Garden Restaurant,$$,2.7 ,6,kingston,ON
Quiznos,$,4.0 ,2,kingston,ON
Harvey’s,$,1.3 ,3,kingston,ON
East Side Village,$$,2.5 ,13,kingston,ON
Dawghouse Pub and Eatery,$$$,4.1 ,44,london,ON
The Church Key Bistro-Pub,$$,4.4 ,124,london,ON
Reverie Restaurant,$$$$,5.0 ,9,london,ON
Craft Farmacy,$$$,4.5 ,26,london,ON
Shiki Restaurant,$$,4.2 ,46,london,ON
Hunter & Co,$$,4.4 ,25,london,ON
Sweet Onion Bistro,$$,4.3 ,60,london,ON
Garlic’s Of,$$,4.1 ,77,london,ON
Mythic Grill,$$,4.3 ,35,london,ON
The Tasting Room,$$,4.2 ,73,london,ON
The Early Bird,$$,4.0 ,234,london,ON
Abruzzi,$$$,4.2 ,69,london,ON
David’s Bistro,$$,4.5 ,40,london,ON
Kenzo Ramen,$$,4.1 ,34,london,ON
State & Main Kitchen & Bar,$$,3.9 ,44,london,ON
Southside Grill,$$,4.1 ,48,london,ON
Chuck’s Roadhouse,$$,2.4 ,69,london,ON
Luan’s Seafood & Grill,$$,4.4 ,20,london,ON
Happy Hotpot & BBQ,$$,3.6 ,11,london,ON
Thuan Thanh,$,4.6 ,52,london,ON
Stoner’s Grubhouse,$$,4.6 ,9,london,ON
Earls Kitchen + Bar,$$,3.7 ,62,london,ON
Congee Chan,$$,3.9 ,80,london,ON
