restaurant_name,address
Leopard,"14053 West Block Drive NW Unit 170 Edmonton, AB T5N 1L8 Canada"
Waffle Bird,"8116 101 Street NW Edmonton, AB T6E 3Y8 Canada"
Triple O's,"10240 Kingsway NW Edmonton, AB T5H 3V9 Canada"
Da Kao,"9750 170 Street NW Edmonton, AB T5T 5L4 Canada"
Social Canadian House,"15845 97 Street NW Edmonton, AB T5X 5V3 Canada"
Thai Avenue Restaurant,"6536 170 Avenue NW Edmonton, AB T5Y 0H7 Canada"
Mamenche's,"10831 101 Street Edmonton, AB T5H 2M3 Canada"
Lee House,"10704 97 Street NW Edmonton, AB T5H 2L9 Canada"
Yo Baba Ukrainian Foods,"8103 127 Avenue NW Suite 9 Edmonton, AB T5C 1R9 Canada"
Shanghai 456,"14456 - 118 Avenue NW Edmonton, AB T5L 2M5 Canada"
Riverside Bistro ,"1 Thornton Crt NW Edmonton, AB T5J 2E7 Canada"
Maria's Place,"11739 83 Street NW Edmonton, AB T5B 2Z1 Canada"
Tony's Pizza & Italian Restaurant,"9605 111 Avenue NW Edmonton, AB T5G 0A9 Canada"
Native Delights,"12011 111 Avenue NW Edmonton, AB T5G 0E7 Canada"
Chicken Hauz,"10752 Jasper Avenue Edmonton, AB T5J 2A7 Canada"
Loft106,"10640 100 Avenue NW Easter Sunday Brunch Edmonton, AB T5J 1J1 Canada"
Olive Garden Italian Restaurant,"4110 Gateway Boulevard Northwest Edmonton, AB T6J 6S7 Canada"
Social Canadian House,"15845 97 Street NW Edmonton, AB T5X 5V3 Canada"
Thai Avenue Restaurant,"6536 170 Avenue NW Edmonton, AB T5Y 0H7 Canada"
The Gardens,"10048 102 Street NW Edmonton, AB T5J 2B8 Canada"
Liz's HomeStyle Grill,"8930 Jasper Avenue Suite 120 Edmonton, AB T5H Canada"
Bodega Tapas and Wine Bar,"10220 103 Street Suite 109 Edmonton, AB T5J 0Y8 Canada"
Belgravia Hub,"7609 115 Street  NW Edmonton, AB T6G 0M2 Canada"
Battista's Calzone,"11745 84 Street NW Edmonton, AB T5B 3C2 Canada"
Sofra Restaurant,"10345 106 Street NW Suite 108 Edmonton, AB T5J 1H8 Canada"
Amore Pasta,"10235 101St NW Suite 173 Edmonton, AB T5J Canada"
Buok Fresh Korean Kitchen,"10707 100 Avenue NW Edmonton, AB T5J 3M1 Canada"
Pho Tau Bay,"10660 98 St NW Edmonton, AB T5H 2N7 Canada"
Filistix,"10621 100 Ave NW Edmonton, AB T5J 0B3 Canada"
Olive Garden Italian Restaurant,"4110 Gateway Boulevard Northwest Edmonton, AB T6J 6S7 Canada"
Social Canadian House,"15845 97 Street NW Edmonton, AB T5X 5V3 Canada"
Thai Avenue Restaurant,"6536 170 Avenue NW Edmonton, AB T5Y 0H7 Canada"
Avila Arepa,"10760 82 Avenue Edmonton, AB T6E 2A8 Canada"
Ruth's Chris Steak House,"9990 Jasper Avenue Edmonton, AB T5J 1P7 Canada"
Flat Boy Burgers,"8717 53 Avenue NW Edmonton, AB T3A 2G8 Canada"
Nuovo Bistro,"10721 124 Street Edmonton, AB T5M 0H2 Canada"
Felice Cafe,"10930 84 Street NW Stadium Yards Edmonton, AB T5H 1M7 Canada"
La Ronde Revolving Restaurant,"10111 Bellamy Hill NW Edmonton, AB T5J 1N7 Canada"
Atlas Steak + Fish,"8882-170 Street NW Suite 2710 West Edmonton Mall Edmonton, AB T5T 3J7 Canada"
The Marc,"9940 106 Street NW Suite 100 Edmonton, AB T5K 2N2 Canada"
Bar Bricco,"10347 Jasper Avenue Edmonton, AB T5J 1Y7 Canada"
Abyssinia Ethiopian Restaurant,"10810 95 Street NW Edmonton, AB T5H 2E3 Canada"
Olive Garden Italian Restaurant,"4110 Gateway Boulevard Northwest Edmonton, AB T6J 6S7 Canada"
Social Canadian House,"15845 97 Street NW Edmonton, AB T5X 5V3 Canada"
Thai Avenue Restaurant,"6536 170 Avenue NW Edmonton, AB T5Y 0H7 Canada"
Safron's Caribbean Delight,"8155 112 Avenue NW Edmonton, AB T5B 0G1 Canada"
Italia,No data or change code
Ribeye Butcher Shop,"15534 37 Street Northwest Edmonton, AB T5Y 0S5 Canada"
Del Posto Italian Kitchen,"10056 107 Street Edmonton, AB T5J 1J2 Canada"
Sai Woo Garden Restaurant,"10571 97 St NW Edmonton, AB T5H 2L4 Canada"
Double Greeting Wonton House,"10212 96 Street NW Edmonton, AB T5H 2G7 Canada"
Graze,"11834 Kingsway Avenue Edmonton, AB T5G 3J5 Canada"
Noodleholic,"9658 107A Avenue Edmonton, AB T5H 0Z7 Canada"
Stanhope Eatery and Bar,"4208 Calgary Trail NW Edmonton, AB T6J 6Y8 Canada"
Birddog,"10181 104 St NW Century Hospitality Group Edmonton, AB T5J 0Z9 Canada"
Da Kao,"9750 170 Street NW Edmonton, AB T5T 5L4 Canada"
Social Canadian House,"15845 97 Street NW Edmonton, AB T5X 5V3 Canada"
Thai Avenue Restaurant,"6536 170 Avenue NW Edmonton, AB T5Y 0H7 Canada"
Allegro Italian Kitchen,"9650 142 Street NW Edmonton, AB T5N 4B2 Canada"
JayBees Diner,"12707 140 Avenue NW Edmonton, AB T6V 1G5 Canada"
Gravy- Burgers And Fries,"10933 - 120 Street Edmonton, AB T5H 3R3 Canada"
Nara Chicken & Tonkatsu,"8712 150 Street NW Edmonton, AB T5R 5Y2 Canada"
Rocky Mountain Icehouse,"10516 Jasper Avenue Edmonton, AB T5K 1X4 Canada"
Sorrentino's Downtown,"10162 100 St NW Edmonton, AB T5J 0P5 Canada"
Bete Africa,"9570 111 Avenue NW Edmonton, AB T5G 0A7 Canada"
Vicki's Gourmet Bistro,"9828 101A Ave  NW Edmonton, AB T5J 3C6 Canada"
The Wokkery Restaurant,"10969 98 St NW Edmonton, AB T5H 2P7 Canada"
Frida Urban Taqueria,"12411 Stony Plain Road Edmonton, AB T5N 3N3 Canada"
Da Kao,"9750 170 Street NW Edmonton, AB T5T 5L4 Canada"
Social Canadian House,"15845 97 Street NW Edmonton, AB T5X 5V3 Canada"
Thai Avenue Restaurant,"6536 170 Avenue NW Edmonton, AB T5Y 0H7 Canada"
Blue Truck Barbecue,"16336 – 111 Avenue NW Edmonton, AB T5M 4G3 Canada"
Duke's Diner,"11636 87 Avenue NW Edmonton, AB T6G 0Y2 Canada"
Viphalay,"10523 - 99 Avenue Edmonton, AB T5K 0E7 Canada"
Seoul Fried Chicken,"10145 104 Street NW Edmonton, AB T5J 0Z9 Canada"
Round 2,"8130 Gateway Boulevard NW Edmonton, AB T6E 4B1 Canada"
Boualouang Laos & Thai Cuisine,"10569 97th Street NW Edmonton, AB T5H 2L7 Canada"
Die Pie,"11817 105 Avenue NW Edmonton, AB T5J 0L9 Canada"
Shojo Izakaya,"10425 121 Street NW Edmonton, AB T5N 1L2 Canada"
Pals Sandwiches,"10335 83 Avenue NW Edmonton, AB T6E 2C6 Canada"
Panini's Italian Cucina,"8544 Jasper Avenue Edmonton, AB T5H 3S4 Canada"
Olive Garden Italian Restaurant,"4110 Gateway Boulevard Northwest Edmonton, AB T6J 6S7 Canada"
Social Canadian House,"15845 97 Street NW Edmonton, AB T5X 5V3 Canada"
Thai Avenue Restaurant,"6536 170 Avenue NW Edmonton, AB T5Y 0H7 Canada"
Panago Pizza,"11762 - 106th Street Edmonton, AB T5G 2R1 Canada"
Cupbap,"101-10115 100A Street NW Edmonton, AB T5J 2W2 Canada"
El Fogón Latino,"8026 118 Avenue Edmonton, AB T5B 0R8 Canada"
Shumka Ukrainian Foods,"21F Kingsway Garden Mall NW Edmonton, AB T5G 3A6 Canada"
Brew and Bloom,"10550 115 St NW Edmonton, AB T5H 3K6 Canada"
Noodle Feast,"3440 99 Street NW Edmonton, AB T6E 5X5 Canada"
Malt & Mortar,"10416 82 Avenue Edmonton, AB T6E 2A2 Canada"
The Underground Tap & Grill,"10004 Jasper Avenue NW Edmonton, AB T5J 1R3 Canada"
Hanjan,"3735 99 Street NW Edmonton, AB T6E 6J7 Canada"
Shogun Fusion ,"10125 121 St NW Edmonton, AB T5N 3W9 Canada"
Olive Garden Italian Restaurant,"4110 Gateway Boulevard Northwest Edmonton, AB T6J 6S7 Canada"
Social Canadian House,"15845 97 Street NW Edmonton, AB T5X 5V3 Canada"
Thai Avenue Restaurant,"6536 170 Avenue NW Edmonton, AB T5Y 0H7 Canada"
Kazoku Ramen,"16518 100 Avenue NW Edmonton, AB T5P 4Y2 Canada"
Commodore Restaurant,"10712 Jasper Avenue NW Edmonton, AB T5J 2A7 Canada"
Cosmic Pizza & Donair,"10412 102 Avenue Edmonton, AB T5J 0B4 Canada"
El Mariachi,"10991A 124 Street Edmonton, AB T5M 0H9 Canada"
Italian Centre Shop,"10878 95 Street NW Edmonton, AB T5H 2E4 Canada"
