restaurant_name,price_range,rating,total_reviews,category,location,province,address
Happy Veal Hot Pot,$$$,3.9 ,23,Chinese,halifax,NS,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Happy Veal Hot Pot,$$$,3.9 ,23,Chinese,halifax,NS,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Happy Veal Hot Pot,$$$,3.9 ,23,Chinese,halifax,NS,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Happy Veal Hot Pot,$$$,3.9 ,23,Chinese,halifax,NS,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Happy Veal Hot Pot,$$$,3.9 ,23,Chinese,halifax,NS,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Happy Veal Hot Pot,$$$,3.9 ,23,Chinese,halifax,NS,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Happy Veal Hot Pot,$$$,3.9 ,23,Chinese,halifax,NS,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Happy Veal Hot Pot,$$$,3.9 ,23,Chinese,halifax,NS,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Happy Veal Hot Pot,$$$,3.9 ,23,Chinese,halifax,NS,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Happy Veal Hot Pot,$$$,3.9 ,23,Chinese,halifax,NS,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Happy Veal Hot Pot,$$$,3.9 ,23,Chinese,halifax,NS,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Happy Veal Hot Pot,$$$,3.9 ,23,Chinese,halifax,NS,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Happy Veal Hot Pot,$$$,3.9 ,23,Chinese,halifax,NS,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Happy Veal Hot Pot,$$$,3.9 ,23,Chinese,halifax,NS,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Happy Veal Hot Pot,$$$,3.9 ,23,Chinese,halifax,NS,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Happy Veal Hot Pot,$$$,3.9 ,23,Chinese,halifax,NS,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Happy Veal Hot Pot,$$$,3.9 ,23,Chinese,halifax,NS,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Happy Veal Hot Pot,$$$,3.9 ,23,Chinese,halifax,NS,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Happy Veal Hot Pot,$$$,3.9 ,23,Chinese,halifax,NS,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Happy Veal Hot Pot,$$$,3.9 ,23,Chinese,halifax,NS,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Happy Veal Hot Pot,$$$,3.9 ,23,Chinese,halifax,NS,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Happy Veal Hot Pot,$$$,3.9 ,23,Chinese,halifax,NS,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Happy Veal Hot Pot,$$$,3.9 ,23,Chinese,halifax,NS,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Le Bistro By Liz,$$,3.8 ,97,French,halifax,NS,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Heng Fung Restaurant,$$,3.9 ,24,Chinese,halifax,NS,"179 Wyse Road Dartmouth, NS B3A Canada"
East of Grafton Tavern,$$$,4.0 ,31,Bars,halifax,NS,"1580 Argyle Street Halifax, NS B3J 1H5 Canada"
Cha Baa Thai,$$,4.2 ,140,Thai,halifax,NS,"100 Ilsley Avenue Dartmouth, NS B3B 1L3 Canada"
Cha Baa Thai,$$,4.2 ,140,Thai,halifax,NS,"1546 Queen St Halifax, NS B3J 2H8 Canada"
Gordies on the Wharf,$,1.8 ,4,Diners,halifax,NS,"Fisherman's Cove 1 Government Wharf RD Eastern Passage, NS B3G Canada"
Dhaba,$$,3.8 ,89,Indian,halifax,NS,"8 Oland Crescent Halifax, NS B3S 1C6 Canada"
Blue Elephant,$$,4.5 ,21,Thai,halifax,NS,"81 Peakview Way Unit 100 Bedford, NS B3M 0G2 Canada"
Boneheads BBQ,$$,3.8 ,146,Southern,halifax,NS,"1014 Barrington St Halifax, NS B3H 2P9 Canada"
Gangnam Korean BBQ,$$,4.0 ,29,Korean,halifax,NS,"1261 Barrington Street Halifax, NS B3J 1Y2 Canada"
I Love Pho,$$,3.1 ,43,Vietnamese,halifax,NS,"746 Bedford Highway Halifax, NS B3M 2L9 Canada"
Bluenose II Restaurant,$$,3.4 ,135,Seafood,halifax,NS,"1824 Hollis Street Halifax, NS B3J 1W4 Canada"
Sushi Nami Royale,$$,3.5 ,43,Sushi Bars,halifax,NS,"149 Hector Gate Dartmouth, NS B3B 0E5 Canada"
Sushi Nami Royale,$$,3.5 ,43,Sushi Bars,halifax,NS,"1458 Queen Street Suite 102 Halifax, NS B3J 2H7 Canada"
St Louis Bar and Grill,$$,2.4 ,43,Chicken Wings,halifax,NS,"547 Portland Street Unit 1 & 2 Dartmouth, NS B2Y 4B1 Canada"
Portland Street Creperie,$,4.4 ,40,Creperies,halifax,NS,"55 Portland Street Dartmouth, NS B2Y 1H1 Canada"
Agricola Street Brasserie,$$$,3.7 ,73,Brasseries,halifax,NS,"2540 Agricola Street Halifax, NS B3K 4C5 Canada"
La Frasca Cibi & Vini,$$$,3.9 ,66,Italian,halifax,NS,"5650 Spring Garden Road Halifax, NS B3J 1H1 Canada"
7 Peppers Grill,$,4.4 ,25,Syrian,halifax,NS,"6169 Quinpool Road Halifax, NS B3L 4P6 Canada"
Qiu Brothers Dumplings,$$,4.0 ,43,Chinese,halifax,NS,"1335 Barrington Street Halifax, NS B3J 1Y9 Canada"
Acadian Fish & Chips,$$,3.5 ,6,Fish & Chips,halifax,NS,"16 Dentith Road Spryfield Mall Spryfield, NS B3R 2H9 Canada"
Waterfront Warehouse,$$,2.8 ,116,Seafood,halifax,NS,"1549 Lower Water Street Halifax, NS B3J 1S2 Canada"
Verano Food Purveyors,$$,4.8 ,16,Latin American,halifax,NS,"1871 Hollis Street Halifax, NS B3J 3M8 Canada"
Sobeys,$$,3.4 ,8,Grocery,halifax,NS,"60 Tacoma Drive Dartmouth, NS B2W 3E5 Canada"
Eliot & Vine,$$$,4.3 ,24,Modern European,halifax,NS,"2305 Clifton Street Halifax, NS B3K 4T9 Canada"
The Armview Restaurant & Lounge,$$,4.1 ,115,Diners,halifax,NS,"7156 Chebucto Road Halifax, NS B3L 1N4 Canada"
King Street Fish & Chips,$,3.8 ,12,Food Stands,halifax,NS,"59 King St Dartmouth, NS B2Y 1H2 Canada"
Bai Wei Grill Bar,$$,3.4 ,7,Asian Fusion,halifax,NS,"1075 Queen Street South End, NS B3H 1M5 Canada"
Caribbean Bliss,$$,4.1 ,25,Caribbean,halifax,NS,"3619 Novalea Drive Halifax, NS B3K 3G1 Canada"
New Panda Buffet,$$,2.6 ,100,Buffets,halifax,NS,"100 Main St Dartmouth, NS B2X 1R5 Canada"
Big Leagues,$$,2.7 ,19,Pubs,halifax,NS,"920 Cole Harbour Road Dartmouth, NS B2V 2J5 Canada"
Old Port Pub & Grill,$$,3.5 ,20,Pubs,halifax,NS,"900 Windmill Road Halifax, NS B3B 1P7 Canada"
Morris East,$$,4.0 ,43,Canadian (New),halifax,NS,"620 Nine Mile Drive Unit 1-9 Bedford, NS B4A 0H4 Canada"
Talay Thai,$$,4.1 ,30,Thai,halifax,NS,"984 Cole Harbour Road Dartmouth, NS B2V 1E7 Canada"
Patrons Bar & Grill,$$,4.2 ,9,Venues & Event Spaces,halifax,NS,"27 Dellridge Lane Unit 105 Bedford, NS B4A 0H1 Canada"
Station Six,$$,3.7 ,29,Bars,halifax,NS,"247 Herring Cove Road Halifax, NS B3P 1L6 Canada"
Pavia Gallery - Espresso Bar & Cafe,$$,4.3 ,25,Art Galleries,halifax,NS,"995 Herring Cove Road Pavia Gallery Herring Cove, NS B3V 1H6 Canada"
Man Bean,$$,4.4 ,16,Vietnamese,halifax,NS,"1284 Barrington Street Halifax, NS B3J 1Y5 Canada"
