restaurant_name,address
Nile River Restaurant,"598 College Street Toronto, ON M6G 1B4 Canada"
Trattoria Nervosa,"75 Yorkville Avenue Toronto, ON M5R 1B8 Canada"
Pii Nong Thai,"1677 Bayview Avenue Toronto, ON M4G 3C1 Canada"
Aafrien,"55 Eglinton Avenue E Toronto, ON M4P 1G8 Canada"
Karlovo,"469 Cosburn Avenue East York, ON M4J 2N6 Canada"
El Mae Restaurant,"1165 St Clair Avenue W Suite 4 Toronto, ON M6E 1B2 Canada"
Playa Cabana,"111 Dupont Street Toronto, ON M5R 1V4 Canada"
A La Turk,"3443 Yonge Street Toronto, ON M4N 2N1 Canada"
Bi Bim Bap,"950 Eglinton Avenue W Toronto, ON M6C 2C2 Canada"
Soya Mandarin Kitchen,"31 Baldwin Street Toronto, ON M5T 1L1 Canada"
Naan And Kabob,"62 Laird Drive Toronto, ON M4G 3V1 Canada"
Mokutan Izakaya,"7057 Yonge Street Thornhill, ON L3T 2A6 Canada"
Empire Supper Club,"220 King Street W Toronto, ON M5V 3M2 Canada"
Wings Out,"120 Interchange Way Concord, ON L4K 5C3 Canada"
Darna,"1613 Bayview Avenue East York, ON M4G 3B5 Canada"
Liko's Hawaiian BBQ,"Toronto, ON M5H 2N3 Canada"
Playa Cabana Bar Esquina,"8 Eglinton Avenue E E Place Toronto, ON M4P 1A6 Canada"
La Bella Managua,"872 Bloor Street W Toronto, ON M6G 1M5 Canada"
Sunny Taiwanese Breakfast,"915 Bay Street Toronto, ON M5S 3L6 Canada"
Sidebar,"161 Danforth Avenue Toronto, ON M4K 1N2 Canada"
Her Father's Cider Bar & Kitchen,"119 Harbord Street Toronto, ON M5S 1G7 Canada"
Aviv Immigrant Kitchen,"779 St. Clair Avenue W Toronto, ON M6C 1B7 Canada"
156 Cumberland,"156 Cumberland Street Toronto, ON M5R 1A8 Canada"
LOCAL Public Eatery - Leaside,"180 Laird Drive Toronto, ON M4G 3V7 Canada"
Mokutan Izakaya,"7057 Yonge Street Thornhill, ON L3T 2A6 Canada"
Empire Supper Club,"220 King Street W Toronto, ON M5V 3M2 Canada"
Wings Out,"120 Interchange Way Concord, ON L4K 5C3 Canada"
