restaurant_name,price_range,rating,total_reviews,category,location,province,address
Sorrel,$$$,3.6 ,32,Mediterranean,toronto,ON,"1158 Yonge Street Toronto, ON M4W 2L9 Canada"
Nozomi Fusion Kitchen,$$,4.8 ,20,Asian Fusion,toronto,ON,"3415 Bathurst Street Toronto, ON M6A 2C1 Canada"
Mezes,$$,4.0 ,259,Greek,toronto,ON,"456 Danforth Avenue Toronto, ON M4K 1P4 Canada"
Eastside Social,$$,4.3 ,80,Seafood,toronto,ON,"1008 Queen Street E Toronto, ON M4M 1K1 Canada"
Omai Restaurant,$$,4.2 ,125,Japanese,toronto,ON,"3 Baldwin Street Toronto, ON M5T 1L1 Canada"
Amsterdam Barrel House,$$,3.4 ,65,Breweries,toronto,ON,"87 Laird Drive Toronto, ON M4G 3T7 Canada"
Corks Beer & Wine Bars,$$,4.5 ,4,Bars,toronto,ON,"93 Laird Drive Toronto, ON M4G 3V1 Canada"
Skylight Rooftop Bar,$$$$,3.8 ,12,Desserts,toronto,ON,"90 Bloor Street E 9th Floor Toronto, ON M4W 1A7 Canada"
Gyubee Japanese Grill - Dundas,$$$,4.4 ,206,Japanese,toronto,ON,"157 Dundas St W Toronto, ON M5B 1E4 Canada"
Tokyo Kitchen,$$,4.0 ,168,Japanese,toronto,ON,"20 Charles Street E Toronto, ON M4Y 1T1 Canada"
Yummy Korean Food Restaurant,$$,4.0 ,273,Korean,toronto,ON,"620 Bloor Street W Toronto, ON M6G 1K7 Canada"
Okonomi House Restaurant,$,3.9 ,315,Japanese,toronto,ON,"23 Charles Street W Toronto, ON M4Y 2R4 Canada"
El Nahual Tacos,$,4.5 ,150,Mexican,toronto,ON,"556 parliament st Toronto, ON M5S 1X2 Canada"
Meta Dos Leitoes,$$,4.4 ,7,Portuguese,toronto,ON,"218 Geary Avenue Toronto, ON M6H 2C3 Canada"
Pho Anh Vu,$$,4.1 ,78,Vietnamese,toronto,ON,"3200 Dufferin Street Toronto, ON M6A 3B2 Canada"
TAO Northern Chinese Cuisine,$$$,3.6 ,42,Chinese,toronto,ON,"220 Laird Drive Toronto, ON M4G 3X2 Canada"
EAT BKK Thai Kitchen,$$,3.8 ,324,Thai,toronto,ON,"4704 Yonge Street Toronto, ON M2N 5M4 Canada"
RH Courtyard Restaurant at RH Toronto,$$$,3.9 ,179,Cafes,toronto,ON,"3401 Dufferin Street RH Toronto Toronto, ON M6A 2T9 Canada"
CANO Restaurant,$$,4.4 ,70,Italian,toronto,ON,"1108 St Clair Avenue W Toronto, ON M6E 1A7 Canada"
Mogouyan Hand-Pulled Noodles,$$,4.1 ,87,Noodles,toronto,ON,"124 Dundas St W Toronto, ON M5G 1C3 Canada"
Mogouyan Hand-Pulled Noodles,$$,4.1 ,87,Noodles,toronto,ON,"124 Dundas St W Toronto, ON M5G 1C3 Canada"
Mogouyan Hand-Pulled Noodles,$$,4.1 ,87,Noodles,toronto,ON,"760 Yonge Street Toronto, ON M4Y 2B6 Canada"
The Wren,$$,4.2 ,219,Bars,toronto,ON,"1382 Danforth Avenue Toronto, ON M4J 1M9 Canada"
The Eagle Twins Restaurant,$,4.1 ,16,Breakfast & Brunch,toronto,ON,"954 St Clair Avenue W Toronto, ON M6E 1A1 Canada"
Mapo Gamjatang,$$,4.1 ,91,Korean,toronto,ON,"4916 Yonge Street Toronto, ON M2N 5N5 Canada"
Mabu Generation,$$,4.2 ,54,Taiwanese,toronto,ON,"575 Yonge Street Toronto, ON M4Y 1Z3 Canada"
Nomé Izakaya,$$$,4.0 ,721,Lounges,toronto,ON,"4848 Yonge Street Toronto, ON M2N 5N2 Canada"
Itacate,$$,4.5 ,57,Mexican,toronto,ON,"998 St. Clair Avenue W Toronto, ON M6E 1A2 Canada"
The House On Parliament,$$,4.1 ,317,British,toronto,ON,"454 Parliament Street Toronto, ON M5A 3A2 Canada"
Jatujak,$$,4.0 ,402,Food Delivery Services,toronto,ON,"1744 Victoria Park Avenue Toronto, ON M1R 1R4 Canada"
MEXITACO,$$,3.8 ,153,Mexican,toronto,ON,"1109 Victoria Park Avenue Toronto, ON M4B 2K2 Canada"
Beach Hill Smokehouse,$$,4.3 ,146,Barbeque,toronto,ON,"172 Main Street S Toronto, ON M4E 2W1 Canada"
Khmer Thai Restaurant,$$,4.1 ,139,Thai,toronto,ON,"1018 St Clair Avenue W Toronto, ON M6E 1A4 Canada"
Sea Witch Fish and Chips,$$,4.0 ,136,Fish & Chips,toronto,ON,"636 Saint Clair Avenue W Toronto, ON M6C 1A9 Canada"
