restaurant_name,price_range,rating,total_reviews,category,location,province,address
La Taqueria Pinche Taco Shop,$$,4.3,521,Mexican,vancouver,BC,"322 W Hastings Street Vancouver, BC V8B 1K6 Canada"
La Notte Restaurant,$$,3.9,55,Italian,vancouver,BC,"3307 Dunbar St Vancouver, BC V6S 2B9 Canada"
Shiok Singapore Cuisine,$$,3.8,102,Singaporean,vancouver,BC,"1716 Kingsway Vancouver, BC V5N 2S4 Canada"
Breakfast Table,$$,4.3,251,Breakfast & Brunch,vancouver,BC,"3014 Granville Street Vancouver, BC V6H 1H6 Canada"
Hawkers Delight Deli,$,3.9,351,Delis,vancouver,BC,"4127 Main Street Vancouver, BC V5V 3P6 Canada"
Afghan Horsemen Restaurant,$$,3.9,244,Middle Eastern,vancouver,BC,"1833 Anderson Street Suite 202 Vancouver, BC V6H 4E5 Canada"
Maruhachi Ra-men,$$,4.4,755,Ramen,vancouver,BC,"780 Bidwell Street Vancouver, BC V6G 2J6 Canada"
The Greek By Anatoli,$$,3.8,253,Greek,vancouver,BC,"1043 Mainland Street Vancouver, BC V6B Canada"
Nuba in Gastown,$$$,4.1,743,Mediterranean,vancouver,BC,"207 W Hastings Street Vancouver, BC V6B 1K6 Canada"
Bodega On Main,$$,3.9,212,Spanish,vancouver,BC,"1014 Main Street Vancouver, BC V6A 2W1 Canada"
The Mexican Antojitos Y Cantina,$$,4.3,402,Mexican,vancouver,BC,"1049 Granville Street Vancouver, BC V6Z 1L4 Canada"
Mott 32,$$$$,3.9,176,Chinese,vancouver,BC,"1161 W Georgia Street Vancouver, BC V6E 0C6 Canada"
Banana Leaf,$$,3.7,299,Malaysian,vancouver,BC,"820 W Broadway Vancouver, BC V5Z 1J8 Canada"
Burger Crush,$$,4.6,19,Burgers,vancouver,BC,"755 Nelson Street Vancouver, BC V6Z 1V3 Canada"
Micha,$$,4.4,42,Chinese,vancouver,BC,"120-4751 Garden City Road Richmond, BC V6X 3M7 Canada"
Osteria Savio Volpe,$$$,4.2,421,Italian,vancouver,BC,"615 Kingsway Vancouver, BC V5T 3K5 Canada"
Nook,$$,3.9,163,Italian,vancouver,BC,"1525 Yew Street Vancouver, BC V6K 3E4 Canada"
Brix & Mortar,$$$,4,318,Wine Bars,vancouver,BC,"1137 Hamilton Street Vancouver, BC V6B 5P6 Canada"
Les Faux Bourgeois,$$,4,452,French,vancouver,BC,"663 E 15th Avenue Vancouver, BC V5T 2R6 Canada"
Mandarin Hong Kong Cafe,$$,3.3,49,Asian Fusion,vancouver,BC,"904 W King Edward Avenue Vancouver, BC V5Z 2E2 Canada"
Sopra Sotto,$$,4,139,Pizza,vancouver,BC,"1510 Commercial Drive Vancouver, BC V5L 2Y7 Canada"
