,Category,Province,Latitude,Rating,Sentiment_score,Sentiment
47,14,0,53.5400481,5.0,0.9152,1
48,14,0,53.5400481,4.0,0.9602,1
49,14,0,53.5400481,5.0,0.9759,1
50,17,0,53.4745278,4.0,0.9259,1
51,17,0,53.4745278,4.0,0.9661,1
52,17,0,53.4745278,4.0,0.0516,0
53,17,0,53.4745278,1.0,-0.9528,0
54,17,0,53.4745278,5.0,0.9538,1
55,14,0,53.6145775,2.0,0.8981,1
56,14,0,53.6145775,5.0,0.9575,1
57,14,0,53.6145775,5.0,0.8807,1
58,14,0,53.6145775,1.0,0.7406,1
59,14,0,53.6145775,5.0,0.7227,1
60,30,0,53.5752616,1.0,0.0,0
61,30,0,53.5752616,5.0,0.8817,1
62,30,0,53.5752616,1.0,-0.7708,0
63,30,0,53.5752616,1.0,-0.5994,0
64,30,0,53.5752616,1.0,-0.0516,0
65,0,0,53.5705954,5.0,0.9127,1
66,0,0,53.5705954,5.0,0.7574,1
67,0,0,53.5705954,1.0,-0.8716,0
68,0,0,53.5705954,1.0,-0.764,0
69,0,0,53.5705954,1.0,-0.6908,0
70,38,0,53.5087749,5.0,0.6486,1
71,38,0,53.5087749,5.0,0.9741,1
72,38,0,53.5087749,5.0,0.975,1
73,38,0,53.5087749,5.0,0.9545,1
74,38,0,53.5087749,2.0,0.7371,1
75,53,0,53.466927,5.0,0.6369,1
76,53,0,53.466927,5.0,0.9555,1
77,53,0,53.466927,5.0,0.9312,1
78,53,0,53.466927,4.0,0.936,1
79,53,0,53.466927,4.0,0.9079,1
80,49,0,53.6034076,1.0,-0.3716,0
81,49,0,53.6034076,4.0,0.7793,1
82,49,0,53.6034076,5.0,0.7579,1
83,49,0,53.6034076,1.0,-0.7342,0
84,49,0,53.6034076,5.0,0.9804,1
85,90,0,53.5536299,5.0,0.8618,1
86,90,0,53.5536299,5.0,0.9974,1
87,90,0,53.5536299,5.0,0.898,1
88,90,0,53.5536299,5.0,0.9647,1
89,90,0,53.5536299,5.0,0.9022,1
90,42,0,53.4877099,5.0,0.9902,1
91,42,0,53.4877099,4.0,0.8176,1
92,42,0,53.4877099,2.0,-0.9307,0
93,42,0,53.4877099,5.0,0.9086,1
94,42,0,53.4877099,5.0,0.9485,1
95,59,0,53.4649282,3.0,0.8922,1
96,59,0,53.4649282,4.0,0.9792,1
97,59,0,53.4649282,5.0,0.9099,1
98,59,0,53.4649282,5.0,0.9935,1
99,59,0,53.4649282,5.0,0.9403,1
100,55,0,53.5378665,3.0,0.8271,1
101,55,0,53.5378665,5.0,0.9217,1
102,55,0,53.5378665,5.0,0.8991,1
103,55,0,53.5378665,2.0,-0.0359,0
104,55,0,53.5378665,3.0,0.2225,0
105,68,0,53.4545107,1.0,-0.637,0
106,68,0,53.4545107,5.0,0.9791,1
107,68,0,53.4545107,5.0,0.8262,1
108,68,0,53.4545107,5.0,0.7964,1
109,68,0,53.4545107,3.0,0.7635,1
110,53,0,53.5701903,5.0,0.9595,1
111,53,0,53.5701903,5.0,0.9808,1
112,53,0,53.5701903,5.0,0.997,1
113,53,0,53.5701903,5.0,0.8304,1
114,53,0,53.5701903,5.0,0.7845,1
115,53,0,53.4532645,5.0,0.7753,1
116,53,0,53.4532645,4.0,0.8271,1
117,53,0,53.4532645,4.0,0.7906,1
118,53,0,53.4532645,1.0,-0.9073,0
119,53,0,53.4532645,4.0,0.9531,1
120,53,0,53.619897,5.0,0.9855,1
121,53,0,53.619897,5.0,0.9711,1
122,53,0,53.619897,5.0,0.8979,1
123,53,0,53.619897,1.0,0.031,0
124,53,0,53.619897,5.0,0.9211,1
125,68,0,53.5235208,5.0,0.9868,1
126,68,0,53.5235208,5.0,0.9153,1
127,68,0,53.5235208,4.0,0.9454,1
128,68,0,53.5235208,5.0,0.954,1
129,68,0,53.5235208,5.0,0.9747,1
130,59,0,53.5154406,5.0,0.854,1
131,59,0,53.5154406,4.0,0.7543,1
132,59,0,53.5154406,4.0,0.5229,1
133,59,0,53.5154406,5.0,0.9684,1
134,59,0,53.5154406,5.0,0.9001,1
135,53,0,53.444085,5.0,0.9201,1
136,53,0,53.444085,5.0,0.9569,1
137,53,0,53.444085,5.0,0.9285,1
138,53,0,53.444085,5.0,0.975,1
139,53,0,53.444085,5.0,0.9756,1
140,17,0,53.51776,4.0,0.8271,1
141,17,0,53.51776,5.0,0.9666,1
142,17,0,53.51776,5.0,0.9509,1
143,17,0,53.51776,4.0,0.7729,1
144,17,0,53.51776,5.0,0.891,1
145,5,0,53.4546916,3.0,0.8811,1
146,5,0,53.4546916,1.0,-0.7717,0
147,5,0,53.4546916,1.0,-0.7897,0
148,5,0,53.4546916,2.0,0.3818,0
149,5,0,53.4546916,2.0,-0.6574,0
150,53,0,53.5179199,5.0,0.9371,1
151,53,0,53.5179199,5.0,0.9537,1
152,53,0,53.5179199,4.0,0.9935,1
153,53,0,53.5179199,4.0,0.8993,1
154,53,0,53.5179199,1.0,0.3339,0
155,82,0,53.5475874,5.0,0.9935,1
156,82,0,53.5475874,5.0,0.9814,1
157,82,0,53.5475874,5.0,0.9371,1
158,82,0,53.5475874,5.0,0.8822,1
159,82,0,53.5475874,1.0,-0.7732,0
160,90,0,53.4595539,1.0,0.4537,0
161,90,0,53.4595539,1.0,0.3818,0
162,90,0,53.4595539,3.0,0.3685,0
163,90,0,53.4595539,4.0,0.9269,1
164,90,0,53.4595539,5.0,0.9614,1
165,42,0,53.4879717,5.0,0.979,1
166,42,0,53.4879717,4.0,0.815,1
167,42,0,53.4879717,5.0,0.964,1
168,42,0,53.4879717,3.0,0.5434,1
169,42,0,53.4879717,5.0,0.6597,1
170,59,0,53.487899,4.0,0.962,1
171,59,0,53.487899,4.0,0.9306,1
172,59,0,53.487899,5.0,0.9427,1
173,59,0,53.487899,5.0,0.9611,1
